"","State","flu_like_deaths","detrended","detrended_flu_like","median","median_flu_like","Week.Ending.Date","Total.Deaths","data_set","MMWR.Week","centered","centered_flu_like","non_flu_deaths","detrended_non_flu_like","centered_non_flu_like"
"9483","Michigan",29,1833.94152046784,34.2649572649573,1826.54385964912,34.8760683760684,2019-11-30,1924,"2014-2019",48,7.39766081871358,-0.611111111111107,1895,1799.67656320288,8.00877192982468
"9484","Michigan",31,1892.64912280702,36.2820512820513,1826.11403508772,34.6623931623932,2019-12-07,1983,"2014-2019",49,66.535087719298,1.61965811965813,1952,1856.36707152497,64.9154295996398
"9485","Michigan",26,1882.3567251462,31.2991452991453,1883.16374269006,33.5213675213675,2019-12-14,1973,"2014-2019",50,-0.807017543859729,-2.22222222222222,1947,1851.05757984705,1.41520467836249
"9486","Michigan",32,1916.06432748538,37.3162393162393,1886.57602339181,37.5384615384615,2019-12-21,2007,"2014-2019",51,29.488304093567,-0.222222222222221,1975,1878.74808816914,29.7105263157892
"9487","Michigan",31,1867.77192982456,36.3333333333333,1898.07894736842,36.8888888888889,2019-12-28,1959,"2014-2019",52,-30.30701754386,-0.55555555555555,1928,1831.43859649123,-29.7514619883044
"9488","Michigan",123,1923.47953216374,128.350427350427,1989.04678362573,53.017094017094,2020-01-04,2015,"2020-2021",1,-65.5672514619887,75.3333333333333,1892,1795.12910481331,-140.900584795322
"9489","Michigan",144,1973.18713450292,149.367521367521,2012.25438596491,55.2478632478633,2020-01-11,2065,"2020-2021",2,-39.0672514619887,94.1196581196581,1921,1823.8196131354,-133.186909581647
"9490","Michigan",122,1841.8947368421,127.384615384615,1946.46198830409,52.9316239316239,2020-01-18,1934,"2020-2021",3,-104.567251461989,74.4529914529915,1812,1714.51012145749,-179.02024291498
"9491","Michigan",117,1917.60233918129,122.401709401709,1866.9649122807,47.2905982905983,2020-01-25,2010,"2020-2021",4,50.6374269005844,75.1111111111111,1893,1795.20062977958,-24.4736842105267
"9492","Michigan",127,1908.30994152047,132.418803418803,1869.71929824561,42.3632478632479,2020-02-01,2001,"2020-2021",5,38.5906432748536,90.0555555555555,1874,1775.89113810166,-51.4649122807019
"9493","Michigan",142,1847.01754385965,147.435897435897,1872.38011695906,43.9273504273504,2020-02-08,1940,"2020-2021",6,-25.3625730994154,103.508547008547,1798,1699.58164642375,-128.871120107962
"9494","Michigan",130,1918.72514619883,135.452991452991,1896.54385964912,42.0555555555556,2020-02-15,2012,"2020-2021",7,22.1812865497072,93.3974358974359,1882,1783.27215474584,-71.2161493477287
"9495","Michigan",159,1960.43274853801,164.470085470085,1873.85380116959,37.3034188034188,2020-02-22,2054,"2020-2021",8,86.5789473684206,127.166666666667,1895,1795.96266306793,-40.5877192982461
"9496","Michigan",129,1879.14035087719,134.48717948718,1911.8567251462,45.9871794871795,2020-02-29,1973,"2020-2021",9,-32.7163742690061,88.5,1844,1744.65317139001,-121.216374269006
"9497","Michigan",139,1893.84795321637,144.504273504273,1896.96198830409,50.5042735042735,2020-03-07,1988,"2020-2021",10,-3.11403508771946,94,1849,1749.3436797121,-97.1140350877195
"9498","Michigan",161,1860.55555555555,166.521367521368,1867.27192982456,45.457264957265,2020-03-14,1955,"2020-2021",11,-6.71637426900611,121.064102564103,1794,1694.03418803419,-127.780476833109
"9499","Michigan",178,1940.26315789474,183.538461538462,1829.37719298246,44.8717948717949,2020-03-21,2035,"2020-2021",12,110.88596491228,138.666666666667,1857,1756.72469635627,-27.7807017543864
"9500","Michigan",419,2334.97076023392,424.555555555556,1835.74269005848,51.5,2020-03-28,2430,"2020-2021",13,499.228070175438,373.055555555556,2011,1910.41520467836,126.172514619883
"9501","Michigan",915,3017.6783625731,920.57264957265,1854.48538011696,45.4615384615385,2020-04-04,3113,"2020-2021",14,1163.19298245614,875.111111111111,2198,2097.10571300045,288.081871345029
"9502","Michigan",1184,3282.38596491228,1189.58974358974,1847.30701754386,47.4786324786325,2020-04-11,3378,"2020-2021",15,1435.07894736842,1142.11111111111,2194,2092.79622132254,292.96783625731
"9503","Michigan",1124,3057.09356725146,1129.60683760684,1782.36549707602,42.0512820512821,2020-04-18,3153,"2020-2021",16,1274.72807017544,1087.55555555556,2029,1927.48672964462,187.172514619883
"9504","Michigan",918,2703.80116959064,923.623931623932,1801.21052631579,38.0042735042735,2020-04-25,2800,"2020-2021",17,902.590643274853,885.619658119658,1882,1780.17723796671,16.9709851551953
"9505","Michigan",704,2486.50877192982,709.641025641026,1767.02046783626,33.1324786324786,2020-05-02,2583,"2020-2021",18,719.488304093567,676.508547008547,1879,1776.8677462888,42.97975708502
"9506","Michigan",559,2144.21637426901,564.65811965812,1749.57894736842,32.6581196581197,2020-05-09,2241,"2020-2021",19,394.637426900585,532,1682,1579.55825461089,-137.362573099415
